章節,知識點,題目,答案,來源,content_match,參考內容,參考頁碼
E_CNN 核心原理解析,回顧與暖身：AI 如何「看」？,人類看到照片能憑直覺立刻分辨貓或狗，但對電腦而言，這兩張圖片的本質其實只是什麼？,一堆「數字」（或是像素值）,手動新增,yes,"2. 電腦怎麼知道圖片裡是貓還是狗？
電腦的「困境」
但對電腦來說，這兩張圖片都只是一堆「數字」（像素值）。
電腦本身並沒有「眼睛」，也無法像我們一樣「直覺」地判斷。
它如何從這些數字中，找出「貓」和「狗」的區別呢？",8
E_CNN 核心原理解析,最終判斷者：全連接層,全連接層被形容為神經網路的什麼部位？它主要負責接收並整合前面所有層級提取的特徵。,大腦中樞,手動新增,yes,"五、最終判斷者：全連接層(Fully 
Connected Layer)
全連接層如同神經網路的「大腦中樞」，它接收並
整合了前面所有層級提取的特徵資訊，經過複雜的
權重計算與非線性轉換，最終輸出針對不同類別的
機率分布。",49
E_CNN 核心原理解析,最終判斷者：全連接層,全連接層在進行綜合分析時，會根據訓練得來的經驗，主要判斷關於特徵的哪兩件事？,"1.哪些特徵組合最有代表性。
2.哪些特徵的重要性（權重）更高。",手動新增,yes,"2. 做出判斷：根據這些特徵，最終判斷圖片是什麼
綜合分析：線索的權重與組合
全連接層會將前面接收到的所有特徵（例如：尖耳朵、鬍鬚、下垂耳朵、圓眼
睛等），進行全面性的整合與分析。
它會根據在大量學習（訓練）中得到的經驗，判斷哪些特徵組合最有代表性，
哪些特徵的重要性更高。",53
E_CNN 核心原理解析,最終判斷者：全連接層,全連接層分析完所有特徵後，輸出的結果通常不是直接的一個答案，而是一個什麼樣的列表？AI 如何從中決定最終結果？,"輸出形式：一個「機率」或「分數」列表。
決定方式：選擇列表中機率最高（或分數最高）的那個選項。",手動新增,yes,"2. 做出判斷：根據這些特徵，最終判斷圖片是什麼
得出「機率」或「分數」
在分析完所有特徵後，全連接層會輸出一個結果，這個結果通常不是直接給你
一個答案，而是一個「機率」或「分數」列表。
AI 會選擇這個列表中機率最高（或分數最高）的那個選項，作為它對這張圖
片的最終判斷結果。",54
E_CNN 核心原理解析,資訊瘦身術：池化層,池化層（Pooling Layer）的核心任務（主要作用）是什麼？,在保留圖片中最重要特徵的同時，大幅縮小圖片的尺寸。,手動新增,yes,"2. 池化層的作用
池化層的核心任務：資料「瘦身」與「濃縮」
池化層就像圖片資料的「去蕪存菁」大師。
它的主要作用就是：在保留圖片中最重要特徵的同時，大幅縮小圖片的尺寸。",41
E_CNN 核心原理解析,資訊瘦身術：池化層,在「最大池化 (Max Pooling)」的運算中，電腦會在窗口範圍內挑選出「最大」的數值。請問為什麼要選最大值？它代表什麼意義？,因為「最大值」通常代表該區域最明顯、最活躍的特徵。,手動新增,yes,"如何「瘦身」？（以「最大池化」為例）
在窗口覆蓋的每個小區域內，它只會「挑選」出最代表性的數值作為代表
。
最大池化(Max Pooling)：最常用的一種！它會從窗口範圍內的數字中
，選出最大的那個數值，作為該區域的代表。
為什麼選「最大」？因為「最大值」通常代表該區域的最明顯、最活躍
的特徵！",43
E_CNN 核心原理解析,資訊瘦身術：池化層,經過池化層「瘦身」後，除了能減少運算量讓模型跑得更快，對於模型辨識圖片時的「穩定性」有什麼幫助？,能讓模型對圖片中的微小位移或變形更具彈性（意即：即使物體位置稍微移動，也能認得出來）。,手動新增,yes,"「瘦身」後的成果：
原本較大的特徵圖，會變成尺寸更小、但濃縮了關鍵資訊的新特徵圖。
這不僅大幅減少了運算量，讓模型跑得更快。
還能讓模型對圖片中的微小位移或變形更具彈性，提升辨識的穩定性！",44
F_GAN核心原理解析,GAN實作體驗,在「老照片修復」的技術中，GAN 透過深度學習模型，針對照片中「缺失的細節」主要執行哪兩個關鍵動作，才能達到修復模糊與劃痕的效果？,「辨識」並「恢復」,手動新增,yes,"圖像修復體驗：AI修圖魔法師
老照片修復
GAN透過深度學習能辨識並恢復老照片中缺失的
細節，自動修復模糊、劃痕、褪色等歲月痕跡，
讓家族珍貴回憶重獲清晰與活力，彷彿時光倒流
！
替換照片中物件
通過智能填充技術，GAN能理解圖像內容並自然
地替換物件！從植物變燈具，AI能分析周圍環境
、光線和風格，完美融合新物件到原始場景中，
保持一",24
F_GAN核心原理解析,GAN的應用與思考,GAN 可應用在哪些領域？,包括藝術創作、醫療影像合成、遊戲場景生成與資料增強等。,1132對應,yes,"藝術創作
產生新風格藝術作品，輔助藝術家創作，甚至「復活」已故藝術家的風格
影視娛樂
生成電影特效、動畫角色、虛擬場景，降低製作成本並拓展創意空間
時尚設計
創造新穎服裝設計、虛擬試衣、個性化時尚推薦，革新購物體驗
醫療健康
生成醫學訓練圖像、協助疾病診斷、模擬藥物分子結構
建築設計
生成建築概念圖、室內設計方案、城市規劃視覺化，加速設計流程
遊戲開發
自動生成遊戲素材、場景、角色，創造更豐富的遊戲世界",26
F_GAN核心原理解析,揭秘GAN的真假對抗賽,什麼是 GAN（生成對抗網路）？,GAN 是一種生成式模型，由生成器與判別器兩個神經網路組成，透過對抗方式訓練。,1132對應,yes,要理解GANs，最直觀的方式就是將它想像成一場「畫家」和「鑑賞家」之間的對抗遊戲。...生成器(Generator)：新手畫家...判別器(Discriminator)：資深鑑賞家...這場「真假對抗賽」，是一個永無止盡的鬥智過程。...GAN 的訓練可以理解為一個雙方對抗、交替更新的過程，目標是讓生成器（Generator）產生越來越逼真的資料，判別器（Discriminator）則不斷提升辨識真偽的能力。,9-12
F_GAN核心原理解析,揭秘GAN的真假對抗賽,GAN 的生成器（Generator）有什麼功能？,生成器從隨機噪聲中產生假資料，目標是騙過判別器使其認為資料為真。,1132對應,yes,"生成器(Generator)：新手畫家
生成器就像一位「新手畫家」，它的目標是繪製出盡可能逼真的圖像。一開始，它可能畫得很拙劣，但它會不斷嘗試，從每次的「失敗」中學習，努力讓自己的作品能以假亂真。
...GAN的運作流程包括：
1. 生成器從隨機噪聲創造假資料
...4.生成器根據判別器的反饋改進生成技術
...5.雙方不斷對抗學習，直到生成器能產生高度逼真的資料","10, 13"
F_GAN核心原理解析,揭秘GAN的真假對抗賽,GAN 的判別器（Discriminator）有什麼功能？,判別器接收真實與生成資料，目標是區分真偽。,1132對應,yes,"判別器(Discriminator)：資深鑑賞家
判別器則是一位「資深藝術鑑賞家」，眼光非常銳利。它的任務是判斷每一幅畫作究竟是「真品」（來自真實世界）還是「贗品」（由畫家生成）。它會盡力辨識出畫家的每一次造假。
...判別器同時接收真實資料和生成的假資料
判別器嘗試區分真假資料","10, 13"
F_GAN核心原理解析,揭秘GAN的真假對抗賽,GAN 的訓練流程是什麼？,交替訓練生成器與判別器，讓生成器愈來愈會騙，判別器愈來愈會辨識。,1132對應,yes,"GAN 的訓練流程（對抗式訓練）
GAN 的訓練可以理解為一個雙方對抗、交替更新的過程，目標是讓生成器（Generator）產生越來越逼真的資料，判別器（Discriminator）則不斷提升辨識真偽的能力。
...交替多次訓練D 和G，直到生成的資料難以區分真假。
隨著訓練進行，生成器會產生越來越逼真的資料，判別器也會變得越來越精確。","12, 16"
F_GAN核心原理解析,揭秘GAN的真假對抗賽,GAN 訓練中第1步做什麼？,固定生成器，訓練判別器讓其能正確區分真實與假資料。,1132對應,yes,"Step 1：更新D（固定G）
從真實資料集中取一批真資料樣本x。
從隨機噪聲z 中產生假資料樣本G(z)。
訓練D，使其最大化判別正確的機率：
• 真資料x 的輸出接近1。
• 假資料G(z) 的輸出接近0。
在這個步驟中，判別器學習如何區分真實資料和生成的假資料，提高其辨別能力。
生成器的參數在此階段保持不變。",15
F_GAN核心原理解析,揭秘GAN的真假對抗賽,GAN 訓練中第2步做什麼？,固定判別器，訓練生成器讓其產生能騙過判別器的資料。,1132對應,yes,"Step 2：更新G（固定D）
生成一批假資料G(z)。
更新G，使D(G(z)) 的輸出接近1（即讓D 被騙）。
G 希望最小化判別器對假資料的識別能力。",16
F_GAN核心原理解析,揭秘GAN的真假對抗賽,GAN 中 Generator 的輸入是什麼？,輸入是一組隨機噪聲向量（如100維），透過神經網路產出影像資料。,1132對應,yes,"1. 生成器從隨機噪聲創造假資料
...從隨機噪聲z 中產生假資料樣本G(z)。","13, 15"
F_GAN核心原理解析,揭秘GAN的真假對抗賽,GAN 中 Discriminator 的輸出是什麼？,輸出一個介於0到1之間的數值，代表輸入資料為真實的機率。,1132對應,yes,"判別器（D）
想要正確分辨資料是真實（Real）還是生成（Fake）。
目標函數：最大化D(x) 和最小化D(G(z))
理想情況：D(x) → 1，D(G(z)) → 0",14
F_GAN核心原理解析,暖身與GAN初探,什麼是生成式模型？,生成式模型是學習資料的分佈並能產生新資料的模型，像是GAN、VAE。,1132對應,yes,有了CNN 這樣強大的「視覺」基礎，AI 的能力遠遠超出了簡單的「組合」。現在，AI 不僅能「模仿」，甚至能產生出前所未見、獨一無二的內容。...這些作品真的是「創造」出來的嗎？...我們要揭開AI 創造力的神秘面紗，看看它們究竟是如何辦到的！...這就引導我們進入今天的主題：生成對抗網路(GAN)，一個讓AI 擁有超凡創造力的神奇技術！,4-6
